0.00.538.273 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.538.280 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.538.282 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.538.284 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.538.285 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.538.289 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.538.290 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.538.292 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.538.293 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.538.294 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.538.296 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.538.298 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.538.300 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.538.301 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.538.305 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.420.728 I 
0.03.420.803 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.03.425.106 I hellaswag_score : loaded 10042 tasks from prompt.
0.03.425.109 I ================================= is_spm = 0
0.03.425.110 I hellaswag_score : selecting 10042 randomized tasks.
0.06.084.609 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
55	83.63636364%	[71.7363%, 91.1446%]
56	82.14285714%	[70.1588%, 90.0001%]
57	82.45614035%	[70.6326%, 90.1811%]
58	82.75862069%	[71.0917%, 90.3557%]
59	83.05084746%	[71.5368%, 90.5242%]
60	83.33333333%	[71.9684%, 90.6868%]
61	83.60655738%	[72.3872%, 90.8440%]
62	83.87096774%	[72.7937%, 90.9959%]
63	84.12698413%	[73.1884%, 91.1429%]
64	84.37500000%	[73.5719%, 91.2852%]
65	84.61538462%	[73.9447%, 91.4229%]
66	84.84848485%	[74.3071%, 91.5564%]
67	85.07462687%	[74.6596%, 91.6857%]
68	85.29411765%	[75.0026%, 91.8112%]
69	85.50724638%	[75.3365%, 91.9329%]
70	84.28571429%	[74.0118%, 90.9924%]
71	84.50704225%	[74.3490%, 91.1227%]
72	84.72222222%	[74.6777%, 91.2493%]
73	84.93150685%	[74.9981%, 91.3723%]
74	85.13513514%	[75.3105%, 91.4919%]
75	84.00000000%	[74.0833%, 90.6035%]
76	84.21052632%	[74.3986%, 90.7305%]
77	83.11688312%	[73.2271%, 89.8593%]
78	83.33333333%	[73.5444%, 89.9931%]
79	83.54430380%	[73.8543%, 90.1233%]
80	83.75000000%	[74.1571%, 90.2502%]
81	83.95061728%	[74.4530%, 90.3738%]
82	84.14634146%	[74.7421%, 90.4944%]
83	83.13253012%	[73.6559%, 89.6779%]
84	83.33333333%	[73.9470%, 89.8043%]
85	82.35294118%	[72.9044%, 89.0036%]
86	82.55813953%	[73.1968%, 89.1352%]
87	82.75862069%	[73.4830%, 89.2637%]
88	82.95454545%	[73.7631%, 89.3892%]
89	83.14606742%	[74.0374%, 89.5117%]
90	83.33333333%	[74.3061%, 89.6315%]
91	83.51648352%	[74.5693%, 89.7486%]
92	83.69565217%	[74.8272%, 89.8630%]
93	83.87096774%	[75.0799%, 89.9749%]
94	84.04255319%	[75.3276%, 90.0844%]
95	84.21052632%	[75.5704%, 90.1915%]
96	84.37500000%	[75.8085%, 90.2963%]
97	84.53608247%	[76.0420%, 90.3989%]
98	83.67346939%	[75.1134%, 89.6932%]
99	83.83838384%	[75.3488%, 89.8001%]
100	83.00000000%	[74.4520%, 89.1064%]
101	83.16831683%	[74.6888%, 89.2172%]
102	82.35294118%	[73.8217%, 88.5357%]
103	82.52427184%	[74.0596%, 88.6501%]
104	82.69230769%	[74.2933%, 88.7623%]
105	82.85714286%	[74.5227%, 88.8722%]
106	83.01886792%	[74.7482%, 88.9800%]
107	83.17757009%	[74.9697%, 89.0858%]
108	83.33333333%	[75.1873%, 89.1895%]
109	83.48623853%	[75.4012%, 89.2913%]
110	83.63636364%	[75.6115%, 89.3912%]
111	83.78378378%	[75.8182%, 89.4892%]
112	83.92857143%	[76.0214%, 89.5855%]
113	84.07079646%	[76.2213%, 89.6800%]
114	83.33333333%	[75.4308%, 89.0626%]
115	83.47826087%	[75.6320%, 89.1602%]
116	83.62068966%	[75.8300%, 89.2560%]
117	83.76068376%	[76.0247%, 89.3502%]
118	83.05084746%	[75.2659%, 88.7517%]
119	83.19327731%	[75.4619%, 88.8487%]
120	82.50000000%	[74.7243%, 88.2595%]
121	82.64462810%	[74.9212%, 88.3591%]
122	82.78688525%	[75.1150%, 88.4570%]
123	82.92682927%	[75.3059%, 88.5533%]
124	83.06451613%	[75.4939%, 88.6480%]
125	83.20000000%	[75.6791%, 88.7412%]
126	83.33333333%	[75.8615%, 88.8328%]
127	83.46456693%	[76.0412%, 88.9230%]
128	82.81250000%	[75.3460%, 88.3669%]
129	82.94573643%	[75.5267%, 88.4594%]
130	83.07692308%	[75.7047%, 88.5504%]
131	83.20610687%	[75.8802%, 88.6401%]
132	82.57575758%	[75.2096%, 88.0995%]
133	82.70676692%	[75.3860%, 88.1913%]
134	82.08955224%	[74.7320%, 87.6585%]
135	82.22222222%	[74.9090%, 87.7524%]
136	82.35294118%	[75.0836%, 87.8448%]
137	82.48175182%	[75.2558%, 87.9358%]
138	82.60869565%	[75.4256%, 88.0255%]
139	82.73381295%	[75.5932%, 88.1138%]
140	82.85714286%	[75.7584%, 88.2009%]
141	82.26950355%	[75.1352%, 87.6921%]
142	82.39436620%	[75.3012%, 87.7810%]
143	82.51748252%	[75.4649%, 87.8687%]
144	82.63888889%	[75.6266%, 87.9551%]
145	82.75862069%	[75.7861%, 88.0402%]
146	82.87671233%	[75.9435%, 88.1242%]
147	82.99319728%	[76.0989%, 88.2070%]
148	83.10810811%	[76.2524%, 88.2886%]
149	83.22147651%	[76.4039%, 88.3692%]
150	83.33333333%	[76.5534%, 88.4486%]
151	82.78145695%	[75.9662%, 87.9701%]
152	82.89473684%	[76.1165%, 88.0512%]
153	83.00653595%	[76.2650%, 88.1313%]
154	82.46753247%	[75.6930%, 87.6617%]
155	82.58064516%	[75.8421%, 87.7433%]
156	82.69230769%	[75.9894%, 87.8238%]
157	82.80254777%	[76.1349%, 87.9033%]
158	82.91139241%	[76.2787%, 87.9817%]
159	83.01886792%	[76.4207%, 88.0591%]
160	83.12500000%	[76.5611%, 88.1356%]
161	83.22981366%	[76.6998%, 88.2110%]
162	83.33333333%	[76.8369%, 88.2855%]
163	83.43558282%	[76.9724%, 88.3591%]
164	83.53658537%	[77.1063%, 88.4317%]
165	83.63636364%	[77.2387%, 88.5035%]
166	83.73493976%	[77.3695%, 88.5743%]
167	83.83233533%	[77.4989%, 88.6443%]
168	83.92857143%	[77.6268%, 88.7134%]
169	84.02366864%	[77.7532%, 88.7817%]
170	84.11764706%	[77.8783%, 88.8492%]
171	84.21052632%	[78.0019%, 88.9159%]
172	84.30232558%	[78.1242%, 88.9817%]
173	84.39306358%	[78.2451%, 89.0468%]
174	84.48275862%	[78.3647%, 89.1112%]
175	84.57142857%	[78.4830%, 89.1747%]
176	84.65909091%	[78.6000%, 89.2376%]
177	84.74576271%	[78.7157%, 89.2997%]
178	84.83146067%	[78.8302%, 89.3611%]
179	84.91620112%	[78.9435%, 89.4218%]
180	85.00000000%	[79.0555%, 89.4818%]
181	85.08287293%	[79.1664%, 89.5411%]
182	85.16483516%	[79.2761%, 89.5998%]
183	85.24590164%	[79.3847%, 89.6578%]
184	85.32608696%	[79.4922%, 89.7151%]
185	85.40540541%	[79.5985%, 89.7719%]
186	85.48387097%	[79.7037%, 89.8280%]
187	85.02673797%	[79.2105%, 89.4328%]
188	85.10638298%	[79.3166%, 89.4902%]
189	85.18518519%	[79.4216%, 89.5470%]
190	85.26315789%	[79.5256%, 89.6031%]
191	85.34031414%	[79.6285%, 89.6586%]
192	85.41666667%	[79.7303%, 89.7136%]
193	84.97409326%	[79.2534%, 89.3298%]
194	85.05154639%	[79.3560%, 89.3859%]
195	85.12820513%	[79.4577%, 89.4414%]
196	85.20408163%	[79.5583%, 89.4964%]
197	85.27918782%	[79.6580%, 89.5508%]
198	84.84848485%	[79.1945%, 89.1760%]
199	84.92462312%	[79.2950%, 89.2315%]
200	84.50000000%	[78.8393%, 88.8604%]
201	84.57711443%	[78.9404%, 88.9169%]
202	84.65346535%	[79.0406%, 88.9729%]
203	84.72906404%	[79.1398%, 89.0284%]
204	84.31372549%	[78.6949%, 88.6642%]
205	83.90243902%	[78.2556%, 88.3020%]
206	83.98058252%	[78.3570%, 88.3600%]
207	84.05797101%	[78.4574%, 88.4174%]
208	84.13461538%	[78.5570%, 88.4743%]
209	84.21052632%	[78.6556%, 88.5306%]
210	84.28571429%	[78.7532%, 88.5864%]
211	84.36018957%	[78.8501%, 88.6416%]
212	83.96226415%	[78.4252%, 88.2905%]
213	84.03755869%	[78.5225%, 88.3466%]
214	83.64485981%	[78.1042%, 87.9989%]
215	83.25581395%	[77.6909%, 87.6532%]
216	83.33333333%	[77.7902%, 87.7116%]
217	83.41013825%	[77.8886%, 87.7694%]
218	83.48623853%	[77.9861%, 87.8267%]
219	83.56164384%	[78.0827%, 87.8835%]
220	83.63636364%	[78.1785%, 87.9397%]
221	83.71040724%	[78.2735%, 87.9954%]
222	83.33333333%	[77.8729%, 87.6598%]
223	83.40807175%	[77.9683%, 87.7163%]
224	83.48214286%	[78.0629%, 87.7723%]
225	83.55555556%	[78.1567%, 87.8278%]
226	83.62831858%	[78.2497%, 87.8828%]
227	83.70044053%	[78.3420%, 87.9373%]
228	83.77192982%	[78.4334%, 87.9913%]
229	83.84279476%	[78.5241%, 88.0448%]
230	83.91304348%	[78.6140%, 88.0979%]
231	83.98268398%	[78.7031%, 88.1505%]
232	84.05172414%	[78.7916%, 88.2026%]
233	84.12017167%	[78.8793%, 88.2542%]
234	83.76068376%	[78.4966%, 87.9342%]
235	83.82978723%	[78.5848%, 87.9866%]
236	83.89830508%	[78.6722%, 88.0385%]
237	83.96624473%	[78.7590%, 88.0900%]
238	84.03361345%	[78.8450%, 88.1411%]
239	84.10041841%	[78.9303%, 88.1917%]
240	83.75000000%	[78.5575%, 87.8791%]
241	83.81742739%	[78.6433%, 87.9304%]
242	83.88429752%	[78.7284%, 87.9813%]
243	83.53909465%	[78.3617%, 87.6726%]
244	83.60655738%	[78.4472%, 87.7241%]
245	83.67346939%	[78.5320%, 87.7752%]
246	83.73983740%	[78.6162%, 87.8259%]
247	83.80566802%	[78.6997%, 87.8762%]
248	83.46774194%	[78.3411%, 87.5734%]
249	83.53413655%	[78.4250%, 87.6243%]
250	83.60000000%	[78.5082%, 87.6749%]
251	83.66533865%	[78.5908%, 87.7249%]
252	83.73015873%	[78.6728%, 87.7746%]
253	83.79446640%	[78.7541%, 87.8239%]
254	83.85826772%	[78.8348%, 87.8728%]
255	83.92156863%	[78.9149%, 87.9213%]
256	83.59375000%	[78.5670%, 87.6272%]
257	83.65758755%	[78.6475%, 87.6764%]
258	83.33333333%	[78.3039%, 87.3847%]
259	83.01158301%	[77.9636%, 87.0946%]
260	82.69230769%	[77.6267%, 86.8059%]
261	82.75862069%	[77.7094%, 86.8575%]
262	82.44274809%	[77.3766%, 86.5713%]
263	82.50950570%	[77.4595%, 86.6235%]
264	82.57575758%	[77.5419%, 86.6752%]
265	82.64150943%	[77.6237%, 86.7265%]
266	82.70676692%	[77.7048%, 86.7775%]
267	82.77153558%	[77.7854%, 86.8280%]
268	82.83582090%	[77.8655%, 86.8782%]
269	82.89962825%	[77.9449%, 86.9279%]
270	82.96296296%	[78.0238%, 86.9773%]
271	83.02583026%	[78.1021%, 87.0264%]
272	83.08823529%	[78.1798%, 87.0750%]
273	82.78388278%	[77.8587%, 86.7992%]
274	82.84671533%	[77.9367%, 86.8484%]
275	82.90909091%	[78.0142%, 86.8972%]
276	82.97101449%	[78.0912%, 86.9456%]
277	83.03249097%	[78.1676%, 86.9937%]
278	83.09352518%	[78.2435%, 87.0414%]
279	83.15412186%	[78.3189%, 87.0888%]
280	82.85714286%	[78.0055%, 86.8194%]
281	82.91814947%	[78.0811%, 86.8673%]
282	82.97872340%	[78.1563%, 86.9148%]
283	83.03886926%	[78.2309%, 86.9619%]
284	83.09859155%	[78.3050%, 87.0088%]
285	83.15789474%	[78.3786%, 87.0552%]
286	82.86713287%	[78.0719%, 86.7912%]
287	82.92682927%	[78.1457%, 86.8381%]
288	82.98611111%	[78.2191%, 86.8847%]
289	83.04498270%	[78.2920%, 86.9310%]
290	83.10344828%	[78.3644%, 86.9770%]
291	83.16151203%	[78.4363%, 87.0226%]
292	83.21917808%	[78.5077%, 87.0679%]
293	83.27645051%	[78.5787%, 87.1129%]
294	83.33333333%	[78.6492%, 87.1576%]
295	83.38983051%	[78.7192%, 87.2020%]
296	83.44594595%	[78.7888%, 87.2461%]
297	83.16498316%	[78.4921%, 86.9909%]
298	83.22147651%	[78.5620%, 87.0354%]
299	83.27759197%	[78.6314%, 87.0796%]
300	83.33333333%	[78.7003%, 87.1235%]
301	83.38870432%	[78.7688%, 87.1671%]
302	83.11258278%	[78.4774%, 86.9159%]
303	83.16831683%	[78.5462%, 86.9599%]
304	83.22368421%	[78.6145%, 87.0037%]
305	83.27868852%	[78.6824%, 87.0471%]
306	83.33333333%	[78.7499%, 87.0902%]
307	83.38762215%	[78.8169%, 87.1331%]
308	83.44155844%	[78.8835%, 87.1757%]
309	83.49514563%	[78.9497%, 87.2180%]
310	83.22580645%	[78.6654%, 86.9728%]
311	83.27974277%	[78.7319%, 87.0155%]
312	83.33333333%	[78.7979%, 87.0579%]
313	83.38658147%	[78.8635%, 87.1000%]
314	83.43949045%	[78.9288%, 87.1419%]
315	83.49206349%	[78.9936%, 87.1835%]
316	83.54430380%	[79.0580%, 87.2248%]
317	83.59621451%	[79.1221%, 87.2659%]
318	83.64779874%	[79.1857%, 87.3067%]
319	83.69905956%	[79.2490%, 87.3472%]
320	83.75000000%	[79.3118%, 87.3875%]
321	83.80062305%	[79.3743%, 87.4275%]
322	83.85093168%	[79.4365%, 87.4672%]
323	83.90092879%	[79.4982%, 87.5068%]
324	83.95061728%	[79.5596%, 87.5460%]
325	84.00000000%	[79.6206%, 87.5850%]
326	84.04907975%	[79.6812%, 87.6238%]
327	84.09785933%	[79.7415%, 87.6623%]
328	84.14634146%	[79.8015%, 87.7006%]
329	83.89057751%	[79.5308%, 87.4681%]
330	83.93939394%	[79.5909%, 87.5068%]
331	83.98791541%	[79.6508%, 87.5452%]
332	84.03614458%	[79.7103%, 87.5834%]
333	83.78378378%	[79.4434%, 87.3536%]
334	83.83233533%	[79.5031%, 87.3922%]
335	83.88059701%	[79.5625%, 87.4305%]
336	83.92857143%	[79.6215%, 87.4686%]
337	83.97626113%	[79.6802%, 87.5064%]
338	84.02366864%	[79.7386%, 87.5441%]
339	84.07079646%	[79.7966%, 87.5815%]
340	84.11764706%	[79.8543%, 87.6186%]
341	83.87096774%	[79.5934%, 87.3939%]
342	83.91812865%	[79.6514%, 87.4314%]
343	83.96501458%	[79.7090%, 87.4687%]
344	84.01162791%	[79.7662%, 87.5058%]
345	83.76811594%	[79.5089%, 87.2836%]
346	83.52601156%	[79.2534%, 87.0623%]
347	83.57348703%	[79.3115%, 87.1003%]
348	83.62068966%	[79.3692%, 87.1380%]
349	83.66762178%	[79.4266%, 87.1756%]
350	83.42857143%	[79.1745%, 86.9568%]
351	83.47578348%	[79.2321%, 86.9946%]
352	83.52272727%	[79.2894%, 87.0323%]
353	83.56940510%	[79.3464%, 87.0697%]
354	83.61581921%	[79.4031%, 87.1068%]
355	83.66197183%	[79.4594%, 87.1438%]
356	83.70786517%	[79.5155%, 87.1806%]
357	83.75350140%	[79.5712%, 87.2171%]
358	83.79888268%	[79.6267%, 87.2535%]
359	83.84401114%	[79.6818%, 87.2896%]
360	83.88888889%	[79.7367%, 87.3255%]
361	83.65650970%	[79.4914%, 87.1128%]
362	83.70165746%	[79.5465%, 87.1491%]
363	83.74655647%	[79.6013%, 87.1851%]
364	83.51648352%	[79.3587%, 86.9742%]
365	83.56164384%	[79.4136%, 87.0106%]
366	83.60655738%	[79.4683%, 87.0467%]
367	83.65122616%	[79.5227%, 87.0826%]
368	83.69565217%	[79.5768%, 87.1183%]
369	83.46883469%	[79.3378%, 86.9102%]
370	83.51351351%	[79.3920%, 86.9462%]
371	83.55795148%	[79.4460%, 86.9821%]
372	83.60215054%	[79.4997%, 87.0177%]
373	83.64611260%	[79.5532%, 87.0531%]
374	83.68983957%	[79.6063%, 87.0883%]
375	83.46666667%	[79.3712%, 86.8834%]
376	83.51063830%	[79.4246%, 86.9189%]
377	83.55437666%	[79.4776%, 86.9542%]
378	83.59788360%	[79.5304%, 86.9893%]
379	83.64116095%	[79.5829%, 87.0243%]
380	83.68421053%	[79.6352%, 87.0590%]
381	83.46456693%	[79.4039%, 86.8572%]
382	83.50785340%	[79.4563%, 86.8922%]
383	83.55091384%	[79.5085%, 86.9270%]
384	83.59375000%	[79.5604%, 86.9616%]
385	83.63636364%	[79.6120%, 86.9961%]
386	83.67875648%	[79.6634%, 87.0304%]
387	83.46253230%	[79.4358%, 86.8315%]
388	83.50515464%	[79.4873%, 86.8660%]
389	83.54755784%	[79.5386%, 86.9004%]
390	83.58974359%	[79.5897%, 86.9346%]
391	83.37595908%	[79.3647%, 86.7378%]
392	83.41836735%	[79.4159%, 86.7722%]
393	83.46055980%	[79.4669%, 86.8064%]
394	83.50253807%	[79.5176%, 86.8405%]
395	83.54430380%	[79.5681%, 86.8744%]
396	83.58585859%	[79.6183%, 86.9081%]
397	83.37531486%	[79.3968%, 86.7141%]
398	83.41708543%	[79.4472%, 86.7481%]
399	83.45864662%	[79.4973%, 86.7819%]
400	83.50000000%	[79.5472%, 86.8155%]
401	83.54114713%	[79.5968%, 86.8489%]
402	83.58208955%	[79.6462%, 86.8822%]
403	83.62282878%	[79.6954%, 86.9153%]
404	83.41584158%	[79.4777%, 86.7245%]
405	83.45679012%	[79.5270%, 86.7579%]
406	83.49753695%	[79.5761%, 86.7910%]
407	83.53808354%	[79.6249%, 86.8240%]
408	83.57843137%	[79.6736%, 86.8569%]
409	83.61858191%	[79.7220%, 86.8896%]
410	83.65853659%	[79.7701%, 86.9221%]
411	83.69829684%	[79.8181%, 86.9544%]
412	83.73786408%	[79.8658%, 86.9866%]
413	83.77723971%	[79.9132%, 87.0187%]
414	83.57487923%	[79.7003%, 86.8321%]
415	83.61445783%	[79.7480%, 86.8644%]
416	83.65384615%	[79.7954%, 86.8965%]
417	83.69304556%	[79.8426%, 86.9284%]
418	83.73205742%	[79.8895%, 86.9602%]
419	83.77088305%	[79.9363%, 86.9919%]
420	83.80952381%	[79.9828%, 87.0234%]
421	83.61045131%	[79.7734%, 86.8397%]
422	83.64928910%	[79.8201%, 86.8714%]
423	83.68794326%	[79.8666%, 86.9030%]
424	83.49056604%	[79.6591%, 86.7207%]
425	83.52941176%	[79.7057%, 86.7524%]
426	83.56807512%	[79.7521%, 86.7840%]
427	83.60655738%	[79.7983%, 86.8155%]
428	83.64485981%	[79.8443%, 86.8468%]
429	83.44988345%	[79.6394%, 86.6666%]
430	83.48837209%	[79.6855%, 86.6981%]
431	83.29466357%	[79.4822%, 86.5189%]
432	83.33333333%	[79.5284%, 86.5506%]
433	83.37182448%	[79.5745%, 86.5822%]
434	83.41013825%	[79.6204%, 86.6137%]
435	83.44827586%	[79.6660%, 86.6449%]
436	83.25688073%	[79.4651%, 86.4677%]
437	83.29519451%	[79.5109%, 86.4992%]
438	83.33333333%	[79.5565%, 86.5305%]
439	83.37129841%	[79.6019%, 86.5617%]
440	83.18181818%	[79.4031%, 86.3861%]
441	83.21995465%	[79.4486%, 86.4175%]
442	83.25791855%	[79.4940%, 86.4488%]
443	83.29571106%	[79.5391%, 86.4799%]
444	83.33333333%	[79.5840%, 86.5108%]
445	83.37078652%	[79.6287%, 86.5416%]
446	83.40807175%	[79.6732%, 86.5723%]
447	83.44519016%	[79.7176%, 86.6029%]
448	83.48214286%	[79.7617%, 86.6333%]
449	83.51893096%	[79.8057%, 86.6635%]
450	83.55555556%	[79.8494%, 86.6936%]
451	83.59201774%	[79.8930%, 86.7236%]
452	83.62831858%	[79.9364%, 86.7535%]
453	83.66445916%	[79.9796%, 86.7832%]
454	83.70044053%	[80.0226%, 86.8128%]
455	83.73626374%	[80.0654%, 86.8422%]
456	83.77192982%	[80.1080%, 86.8716%]
457	83.58862144%	[79.9155%, 86.7018%]
458	83.62445415%	[79.9583%, 86.7313%]
459	83.66013072%	[80.0009%, 86.7607%]
460	83.69565217%	[80.0433%, 86.7899%]
461	83.51409978%	[79.8527%, 86.6216%]
462	83.54978355%	[79.8952%, 86.6510%]
463	83.36933045%	[79.7059%, 86.4836%]
464	83.18965517%	[79.5176%, 86.3167%]
465	83.22580645%	[79.5605%, 86.3466%]
466	83.26180258%	[79.6033%, 86.3764%]
467	83.29764454%	[79.6459%, 86.4060%]
468	83.33333333%	[79.6884%, 86.4356%]
469	83.36886994%	[79.7306%, 86.4649%]
470	83.40425532%	[79.7727%, 86.4942%]
471	83.43949045%	[79.8146%, 86.5234%]
472	83.47457627%	[79.8563%, 86.5524%]
473	83.50951374%	[79.8979%, 86.5813%]
474	83.54430380%	[79.9392%, 86.6100%]
475	83.57894737%	[79.9805%, 86.6387%]
476	83.40336134%	[79.7963%, 86.4756%]
477	83.43815514%	[79.8377%, 86.5044%]
478	83.47280335%	[79.8788%, 86.5331%]
479	83.50730689%	[79.9198%, 86.5616%]
480	83.54166667%	[79.9606%, 86.5901%]
481	83.57588358%	[80.0013%, 86.6184%]
482	83.60995851%	[80.0418%, 86.6466%]
483	83.64389234%	[80.0821%, 86.6747%]
484	83.67768595%	[80.1223%, 86.7027%]
485	83.71134021%	[80.1623%, 86.7305%]
486	83.74485597%	[80.2022%, 86.7583%]
487	83.57289528%	[80.0218%, 86.5985%]
488	83.60655738%	[80.0617%, 86.6264%]
